"","Counts","Aoristic Weight","Area","Simulated","SPD"
"Counts",1,0.92,0.96,0.93,0.51
"Aoristic Weight",0.92,1,0.85,0.98,0.38
"Area",0.96,0.85,1,0.86,0.58
"Simulated",0.93,0.98,0.86,1,0.37
"SPD",0.51,0.38,0.58,0.37,1
