"bp","jeita_cave","z_score_jeita_cave","jerusalem_west_cave","z_score_jerusalem_west_cave","lake_hula","z_score_lake_hula","soreq_cave","z_score_soreq_cave"
1912,-4.87,1.19254331622922,NA,NA,NA,NA,NA,NA
1932,-5.25,0.437525420019203,NA,NA,NA,NA,NA,NA
1953,-5.07,0.795165476118685,NA,NA,NA,NA,NA,NA
1974,-4.97,0.993854396173954,NA,NA,NA,NA,NA,NA
1994,-5.02,0.894509936146321,NA,NA,NA,NA,NA,NA
2000,NA,NA,NA,NA,NA,NA,-5.31,-0.988856028771432
2015,-5.1,0.735558800102106,NA,NA,NA,NA,NA,NA
2022,-4.89,1.15280553221817,NA,NA,NA,NA,NA,NA
2030,-4.91,1.11306774820711,NA,NA,NA,NA,NA,NA
2037,-5.08,0.775296584113159,NA,NA,NA,NA,NA,NA
2044,-5.18,0.576607664057891,NA,NA,NA,NA,NA,NA
2066,-5.02,0.894509936146321,NA,NA,NA,NA,NA,NA
2087,-5.1,0.735558800102106,NA,NA,NA,NA,NA,NA
2109,-4.99,0.9541166121629,NA,NA,NA,NA,NA,NA
2130,-5.02,0.894509936146321,NA,NA,NA,NA,NA,NA
2135,-5.08,0.775296584113159,NA,NA,NA,NA,NA,NA
2139,-5.07,0.795165476118685,NA,NA,NA,NA,NA,NA
2144,-5,0.934247720157373,NA,NA,NA,NA,NA,NA
2147,NA,NA,NA,NA,-8.05,0.556826840183232,NA,NA
2148,-5.19,0.556738772052363,NA,NA,NA,NA,NA,NA
2152,-5,0.934247720157373,NA,NA,NA,NA,NA,NA
2157,-5.09,0.755427692107632,NA,NA,NA,NA,NA,NA
2161,-5.3,0.338180959991569,NA,NA,NA,NA,NA,NA
2166,-5.07,0.795165476118685,NA,NA,NA,NA,NA,NA
2170,-5.2,0.536869880046837,NA,NA,NA,NA,NA,NA
2175,-4.99,0.9541166121629,NA,NA,NA,NA,NA,NA
2179,-5.02,0.894509936146321,NA,NA,NA,NA,NA,NA
2183,-5.01,0.914378828151847,NA,NA,NA,NA,NA,NA
2188,-5.07,0.795165476118685,NA,NA,NA,NA,NA,NA
2192,-4.86,1.21241220823475,NA,NA,NA,NA,NA,NA
2197,-4.77,1.39123223628449,NA,NA,NA,NA,NA,NA
2221,-4.92,1.09319885620159,NA,NA,NA,NA,NA,NA
2240,NA,NA,NA,NA,NA,NA,-5.36,-1.03735981094505
2246,-4.79,1.35149445227344,NA,NA,NA,NA,NA,NA
2270,-4.92,1.09319885620159,NA,NA,NA,NA,NA,NA
2289,NA,NA,-5.13,0.0764843566175411,NA,NA,NA,NA
2295,-4.87,1.19254331622922,NA,NA,NA,NA,NA,NA
2320,-5,0.934247720157373,NA,NA,NA,NA,NA,NA
2344,-4.99,0.9541166121629,NA,NA,NA,NA,NA,NA
2360,NA,NA,NA,NA,NA,NA,-5.42,-1.09556434955338
2369,-5,0.934247720157373,NA,NA,NA,NA,NA,NA
2393,-5.06,0.815034368124213,NA,NA,NA,NA,NA,NA
2418,-4.97,0.993854396173954,NA,NA,NA,NA,NA,NA
2442,-4.98,0.973985504168426,NA,NA,NA,NA,NA,NA
2451,NA,NA,NA,NA,-7.8,0.985802200445241,NA,NA
2467,-4.88,1.1726744242237,NA,NA,NA,NA,NA,NA
2480,NA,NA,NA,NA,NA,NA,-5.39,-1.06646208024921
2491,-4.93,1.07332996419606,NA,NA,NA,NA,NA,NA
2516,-5.17,0.596476556063418,NA,NA,NA,NA,NA,NA
2541,-5.13,0.675952124085525,NA,NA,NA,NA,NA,NA
2565,-5.18,0.576607664057891,NA,NA,NA,NA,NA,NA
2590,-5.06,0.815034368124213,NA,NA,NA,NA,NA,NA
2600,NA,NA,NA,NA,NA,NA,-5.6,-1.27017796537839
2614,-5.12,0.695821016091051,NA,NA,NA,NA,NA,NA
2639,-5.05,0.83490326012974,NA,NA,NA,NA,NA,NA
2663,-4.91,1.11306774820711,NA,NA,NA,NA,NA,NA
2688,-4.93,1.07332996419606,NA,NA,NA,NA,NA,NA
2712,-5.05,0.83490326012974,NA,NA,NA,NA,NA,NA
2736,-4.89,1.15280553221817,NA,NA,-7.71,1.14023333013956,NA,NA
2760,-5.11,0.715689908096578,NA,NA,NA,NA,-5.56,-1.2313749396395
2785,-4.89,1.15280553221817,NA,NA,NA,NA,NA,NA
2809,-5.1,0.735558800102106,NA,NA,NA,NA,NA,NA
2815,-4.96,1.01372328817948,NA,NA,NA,NA,NA,NA
2821,-5,0.934247720157373,NA,NA,NA,NA,NA,NA
2827,-4.93,1.07332996419606,NA,NA,NA,NA,NA,NA
2832,-5.04,0.854772152135266,NA,NA,NA,NA,NA,NA
2838,-5.04,0.854772152135266,NA,NA,NA,NA,NA,NA
2844,-5.06,0.815034368124213,NA,NA,NA,NA,NA,NA
2850,-4.82,1.29188777625686,NA,NA,NA,NA,NA,NA
2856,-4.96,1.01372328817948,NA,NA,NA,NA,NA,NA
2862,-4.88,1.1726744242237,NA,NA,NA,NA,NA,NA
2868,-4.94,1.05346107219053,NA,NA,NA,NA,NA,NA
2874,-4.91,1.11306774820711,NA,NA,NA,NA,NA,NA
2880,-4.77,1.39123223628449,NA,NA,NA,NA,NA,NA
2886,-4.85,1.23228110024028,NA,NA,NA,NA,NA,NA
2892,-4.7,1.53031448032318,NA,NA,NA,NA,NA,NA
2897,-4.98,0.973985504168426,NA,NA,NA,NA,NA,NA
2903,-4.94,1.05346107219053,NA,NA,NA,NA,NA,NA
2909,-4.93,1.07332996419606,NA,NA,NA,NA,NA,NA
2917,-4.95,1.03359218018501,NA,NA,NA,NA,NA,NA
2926,-4.77,1.39123223628449,NA,NA,NA,NA,NA,NA
2930,NA,NA,NA,NA,NA,NA,-5.51,-1.18287115746589
2934,-4.73,1.4707078043066,NA,NA,NA,NA,NA,NA
2942,-5.18,0.576607664057891,NA,NA,NA,NA,NA,NA
2947,NA,NA,-5.18,0.0407049188316925,NA,NA,NA,NA
2950,-4.98,0.973985504168426,NA,NA,NA,NA,NA,NA
2958,-5.06,0.815034368124213,NA,NA,NA,NA,NA,NA
2969,-4.89,1.15280553221817,NA,NA,NA,NA,NA,NA
2980,-5.32,0.298443175980515,NA,NA,NA,NA,NA,NA
2990,-5.44,0.0600164719141927,NA,NA,NA,NA,NA,NA
3001,-5.45,0.0401475799086663,NA,NA,NA,NA,NA,NA
3012,-5.43,0.0798853639197208,NA,NA,NA,NA,NA,NA
3022,-5.38,0.179229823947355,NA,NA,NA,NA,NA,NA
3033,-5.4,0.1394920399363,NA,NA,NA,NA,NA,NA
3040,NA,NA,NA,NA,-7.63,1.27750544542341,NA,NA
3044,-5.41,0.119623147930774,NA,NA,NA,NA,NA,NA
3054,-5.45,0.0401475799086663,NA,NA,NA,NA,NA,NA
3065,-5.42,0.0997542559252472,NA,NA,NA,NA,NA,NA
3076,-5.43,0.0798853639197208,NA,NA,NA,NA,NA,NA
3086,-5.3,0.338180959991569,NA,NA,NA,NA,NA,NA
3097,-5.38,0.179229823947355,NA,NA,NA,NA,NA,NA
3100,NA,NA,NA,NA,NA,NA,-5.62,-1.28957947824784
3108,-5.32,0.298443175980515,NA,NA,NA,NA,NA,NA
3122,-5.2,0.536869880046837,NA,NA,NA,NA,NA,NA
3136,-5.26,0.417656528013677,NA,NA,NA,NA,NA,NA
3150,-5.39,0.159360931941828,NA,NA,NA,NA,NA,NA
3164,-5.32,0.298443175980515,NA,NA,NA,NA,NA,NA
3179,-5.42,0.0997542559252472,NA,NA,NA,NA,NA,NA
3193,-5.43,0.0798853639197208,NA,NA,NA,NA,NA,NA
3200,NA,NA,NA,NA,NA,NA,-5.41,-1.08586359311866
3207,-5.48,-0.0194590961079147,NA,NA,NA,NA,NA,NA
3221,-5.5,-0.0591968801189675,NA,NA,NA,NA,NA,NA
3236,-5.46,0.0202786879031399,NA,NA,NA,NA,NA,NA
3250,-5.45,0.0401475799086663,NA,NA,NA,NA,NA,NA
3264,-5.3,0.338180959991569,NA,NA,NA,NA,NA,NA
3278,-5.37,0.199098715952881,NA,NA,NA,NA,NA,NA
3293,-5.5,-0.0591968801189675,NA,NA,NA,NA,NA,NA
3300,NA,NA,NA,NA,NA,NA,-5.45,-1.12466661885755
3306,NA,NA,NA,NA,-7.65,1.24318741660244,NA,NA
3307,-5.55,-0.158541340146601,NA,NA,NA,NA,NA,NA
3321,-5.56,-0.178410232152128,NA,NA,NA,NA,NA,NA
3335,-5.67,-0.396968044212923,NA,NA,NA,NA,NA,NA
3349,-5.52,-0.0989346641300203,NA,NA,NA,NA,NA,NA
3364,-5.41,0.119623147930774,NA,NA,NA,NA,NA,NA
3382,-5.37,0.199098715952881,NA,NA,NA,NA,NA,NA
3400,-5.43,0.0798853639197208,NA,NA,NA,NA,-5.4,-1.07616283668394
3418,-5.38,0.179229823947355,NA,NA,NA,NA,NA,NA
3436,-5.4,0.1394920399363,NA,NA,NA,NA,NA,NA
3454,-5.35,0.238836499963935,NA,NA,NA,NA,NA,NA
3472,-5.38,0.179229823947355,NA,NA,NA,NA,NA,NA
3490,-5.31,0.318312067986043,NA,NA,NA,NA,NA,NA
3500,NA,NA,NA,NA,NA,NA,-5.33,-1.00825754164088
3508,-5.33,0.278574283974988,NA,NA,NA,NA,NA,NA
3526,-5.36,0.218967607958407,NA,NA,NA,NA,NA,NA
3540,NA,NA,NA,NA,NA,NA,-5.49,-1.16346964459644
3545,-5.29,0.358049851997096,NA,NA,NA,NA,NA,NA
3563,-5.31,0.318312067986043,NA,NA,NA,NA,NA,NA
3580,NA,NA,NA,NA,NA,NA,-5.39,-1.06646208024921
3581,-5.55,-0.158541340146601,NA,NA,NA,NA,NA,NA
3591,NA,NA,NA,NA,-7.65,1.24318741660244,NA,NA
3595,NA,NA,-5.54,-0.216907033226418,NA,NA,NA,NA
3599,-5.48,-0.0194590961079147,NA,NA,NA,NA,NA,NA
3617,-5.34,0.258705391969462,NA,NA,NA,NA,NA,NA
3620,NA,NA,NA,NA,NA,NA,-5.28,-0.959753759467264
3635,-5.39,0.159360931941828,NA,NA,NA,NA,NA,NA
3653,-5.48,-0.0194590961079147,NA,NA,NA,NA,NA,NA
3657,-5.39,0.159360931941828,NA,NA,NA,NA,NA,NA
3660,-5.58,-0.218148016163182,NA,NA,NA,NA,-5.26,-0.940352246597818
3664,-5.5,-0.0591968801189675,NA,NA,NA,NA,NA,NA
3667,-5.53,-0.118803556135548,NA,NA,NA,NA,NA,NA
3671,-5.49,-0.0393279881134411,NA,NA,NA,NA,NA,NA
3675,-5.65,-0.35723026020187,NA,NA,NA,NA,NA,NA
3678,-5.48,-0.0194590961079147,NA,NA,NA,NA,NA,NA
3682,-5.55,-0.158541340146601,NA,NA,NA,NA,NA,NA
3686,-5.45,0.0401475799086663,NA,NA,NA,NA,NA,NA
3689,-5.5,-0.0591968801189675,NA,NA,NA,NA,NA,NA
3693,-5.16,0.616345448068944,NA,NA,NA,NA,NA,NA
3696,-5.16,0.616345448068944,NA,NA,NA,NA,NA,NA
3700,-5.39,0.159360931941828,NA,NA,NA,NA,NA,NA
3704,-5.43,0.0798853639197208,NA,NA,NA,NA,NA,NA
3707,-5.5,-0.0591968801189675,NA,NA,NA,NA,NA,NA
3711,-5.49,-0.0393279881134411,NA,NA,NA,NA,NA,NA
3714,-5.34,0.258705391969462,NA,NA,NA,NA,NA,NA
3718,-5.37,0.199098715952881,NA,NA,NA,NA,NA,NA
3720,NA,NA,NA,NA,NA,NA,-5.51,-1.18287115746589
3722,-5.19,0.556738772052363,NA,NA,NA,NA,NA,NA
3725,-5.42,0.0997542559252472,NA,NA,NA,NA,NA,NA
3729,-5.51,-0.0790657721244939,NA,NA,NA,NA,NA,NA
3732,-5.31,0.318312067986043,NA,NA,NA,NA,NA,NA
3736,-5.45,0.0401475799086663,NA,NA,NA,NA,NA,NA
3740,-5.46,0.0202786879031399,NA,NA,NA,NA,NA,NA
3743,-5.49,-0.0393279881134411,NA,NA,NA,NA,NA,NA
3747,-5.37,0.199098715952881,NA,NA,NA,NA,NA,NA
3750,-5.46,0.0202786879031399,NA,NA,NA,NA,NA,NA
3754,-5.41,0.119623147930774,NA,NA,NA,NA,NA,NA
3758,-5.55,-0.158541340146601,NA,NA,NA,NA,NA,NA
3761,-5.53,-0.118803556135548,NA,NA,NA,NA,NA,NA
3765,-5.4,0.1394920399363,NA,NA,NA,NA,NA,NA
3768,-5.5,-0.0591968801189675,NA,NA,NA,NA,NA,NA
3772,-5.58,-0.218148016163182,NA,NA,NA,NA,NA,NA
3780,NA,NA,NA,NA,NA,NA,-5.55,-1.22167418320478
3783,-5.6,-0.257885800174235,NA,NA,NA,NA,NA,NA
3794,-5.52,-0.0989346641300203,NA,NA,NA,NA,NA,NA
3800,NA,NA,NA,NA,NA,NA,-5.52,-1.19257191390061
3805,-5.51,-0.0790657721244939,NA,NA,NA,NA,NA,NA
3816,-5.43,0.0798853639197208,NA,NA,NA,NA,NA,NA
3820,NA,NA,NA,NA,NA,NA,-5.37,-1.04706056737977
3827,-5.5,-0.0591968801189675,NA,NA,NA,NA,NA,NA
3839,-5.42,0.0997542559252472,NA,NA,NA,NA,NA,NA
3850,-5.44,0.0600164719141927,NA,NA,NA,NA,NA,NA
3860,NA,NA,NA,NA,NA,NA,-5.4,-1.07616283668394
3861,-5.4,0.1394920399363,NA,NA,NA,NA,NA,NA
3872,-5.43,0.0798853639197208,NA,NA,-7.58,1.36330051747581,NA,NA
3880,NA,NA,NA,NA,NA,NA,-5.24,-0.920950733728373
3883,-5.27,0.39778763600815,NA,NA,NA,NA,NA,NA
3894,-5.22,0.497132096035784,NA,NA,NA,NA,NA,NA
3900,NA,NA,NA,NA,NA,NA,-5.23,-0.911249977293651
3905,-5.01,0.914378828151847,NA,NA,NA,NA,NA,NA
3916,-5.06,0.815034368124213,NA,NA,NA,NA,NA,NA
3920,NA,NA,NA,NA,NA,NA,-5.35,-1.02765905451032
3927,-4.9,1.13293664021264,NA,NA,NA,NA,NA,NA
3940,NA,NA,NA,NA,NA,NA,-5.31,-0.988856028771432
3945,-5.07,0.795165476118685,NA,NA,NA,NA,NA,NA
3960,NA,NA,NA,NA,NA,NA,-5.37,-1.04706056737977
3962,-4.92,1.09319885620159,NA,NA,NA,NA,NA,NA
3980,-4.91,1.11306774820711,NA,NA,NA,NA,-5.25,-0.930651490163096
3997,-4.96,1.01372328817948,NA,NA,NA,NA,NA,NA
