bp,d18o
35240,-3.46
35250,-3.56
35270,-3.39
35280,-3.54
35300,-3.5
35310,-3.53
35330,-3.48
35350,-3.46
35360,-3.53
35380,-3.45
35390,-3.43
35410,-3.57
35420,-3.33
35440,-3.38
35450,-3.55
35470,-3.68
35480,-3.8
35500,-3.54
35510,-3.52
35530,-3.47
35540,-3.65
35560,-3.49
35580,-3.46
35590,-3.36
35610,-2.89
35620,-2.36
35640,-3.07
35650,-3.03
35670,-2.87
35680,-2.88
35700,-3.07
35710,-3.04
35730,-2.96
35740,-3.02
35760,-2.99
35770,-3.01
35790,-3.02
35500,-4.44
35910,-3.68
36270,-3.27
37400,-3.61
38210,-3.54
39180,-3.07
39420,-3.46
39670,-3.24
39910,-3.21
40150,-3.46
40400,-3.7
40640,-3.69
40890,-3.69
41130,-3.79
41370,-3.71
41620,-3.52
41860,-3.52
42100,-3.44
42350,-3.59
42590,-3.74
42830,-3.9
43080,-3.68
43320,-3.48
43560,-3.41
43810,-3.25
44050,-3.36
44300,-3.46
44540,-3.48
44780,-3.53
45030,-3.27
45270,-3.08
45510,-3.09
45760,-2.81
46000,-2.88
46090,-3.38
45700,-2.64
45790,-2.81
45880,-2.83
45960,-2.81
46050,-2.93
46140,-3.03
46230,-2.97
46310,-2.95
46400,-2.48
46460,-2.54
46510,-2.71
46570,-2.69
46630,-2.78
46690,-3.28
46740,-3.47
46800,-3.4
46860,-3.34
46910,-3.67
46970,-3.59
47030,-3.58
47090,-3.51
47150,-3.32
47210,-3.22
47270,-3.29
47330,-3.24
47390,-3.37
47440,-3.34
47500,-3.36
47900,-3.46
48300,-3.43
48350,-3.46
48380,-3.63
48400,-3.59
48300,-3.48
48450,-3.67
48480,-3.45
48500,-3.67
48540,-3.75
48690,-3.74
48840,-3.68
48890,-3.59
49150,-3.5
49210,-3.57
49260,-4.09
49320,-3.73
49370,-3.73
49430,-4.13
49480,-4.07
49590,-4.17
49640,-3.98
49700,-3.47
49750,-3.52
49810,-3.56
49920,-3.68
49970,-3.24
50030,-3.42
50080,-3.02
50140,-3.66
50190,-3.34
50250,-3.43
50300,-3.34
50360,-3.35
50410,-3.71
50460,-3.7
50520,-3.81
50570,-3.94
50630,-3.55
50680,-3.36
50740,-3.84
50790,-3.73
50850,-3.92
50900,-3.45
50960,-3.74
51000,-3.71
51070,-3.77
51120,-4.03
51170,-3.94
51230,-4.05
51280,-3.54
51340,-3.79
51390,-3.98
51450,-3.59
51500,-3.84
51560,-3.72
51610,-3.57
51670,-3.72
51720,-3.63
51770,-3.59
51830,-4.06
51880,-4.04
51940,-3.88
51990,-4
52050,-4.17
52100,-4.03
52160,-4.28
52270,-4.05
52300,-3.83
52370,-3.71
52430,-4.29
52480,-4
52540,-4.11
52590,-4.14
52650,-4.28
52700,-4.13
52760,-4.8
52810,-4.4
52870,-4.48
52920,-4.92
52980,-4.27
53030,-3.95
53090,-4.43
53140,-4.16
53190,-4.04
53250,-4.2
53300,-4.21
53360,-4.09
53410,-4.39
53470,-4.55
53520,-5.11
53580,-4.3
53630,-4.47
53690,-4.29
53740,-4.18
53800,-4.27
53850,-4.66
53900,-3.98
53960,-4
54010,-4.08
54070,-3.68
54120,-3.51
54180,-5.27
54230,-4.18
54290,-4.25
54340,-4.31
54400,-4.86
54425,-3.53
54450,-3.28
54500,-3.18
54560,-3.16
54610,-3.21
54670,-3.23
54720,-3.68
54780,-3.29
54890,-3.58
54940,-3.18
54970,-3.75
55000,-3.7
55025,-3.46
55050,-3.24
55075,-3.29
55100,-3.3
55130,-3.41
55160,-3.22
55185,-3.59
55240,-3.91
55270,-3.56
55295,-3.58
55320,-3.91
55350,-3.55
55380,-3.85
55405,-3.6
55430,-3.56
55460,-3.46
55490,-3.68
55540,-3.8
55600,-3.55
55650,-3.6
55710,-3.58
55760,-3.54
55820,-3.34
55870,-3.23
55890,-4.36
55915,-3.7
55940,-3.84
55960,-3.59
55983,-3.72
56000,-3.76
56028,-3.77
56050,-3.71
56070,-3.59
56095,-4.41
56120,-4.27
56140,-4.17
56164,-4.18
56187,-3.88
56210,-4
56230,-3.95
56255,-3.62
56278,-3.58
56300,-4.06
56323,-3.61
56345,-3.81
56368,-3.57
56390,-3.86
56410,-3.55
56436,-3.79
56459,-3.69
56480,-4.11
56504,-3.99
56527,-4.21
56550,-4.08
56572,-3.33
56594,-3.28
56617,-3.56
