bp,d18o
5240,-5.36
5260,-5
5280,-5.25
5286,-5.09
5291,-5.23
5296,-5.09
5302,-5.36
5307,-5.44
5312,-5.72
5317,-5.81
5323,-6
5328,-5.93
5333,-5.84
5339,-5.62
5344,-5.35
5349,-5.27
5354,-4.84
5360,-4.89
5365,-4.98
5370,-5.07
5376,-5.32
5381,-5.21
5386,-5.15
5391,-5.02
5397,-5.02
5402,-5.07
5407,-5.3
5420,-5.31
5432,-5.19
5445,-5.1
5457,-4.95
5470,-4.94
5482,-4.97
5495,-4.95
5507,-5.11
5520,-5.13
5532,-5.08
5545,-5.31
5557,-5.48
5570,-5.33
5582,-5.36
5595,-5.23
5607,-5.13
5620,-5.26
5626,-5.37
5633,-5.01
5639,-5.19
5646,-5.32
5653,-5.26
5659,-5.21
5666,-5.51
5672,-5.43
5679,-5.29
5686,-4.76
5692,-5.24
5699,-5.09
5705,-5.61
5712,-5.39
5719,-5.48
5725,-5.02
5732,-5.11
5738,-5.19
5745,-5.11
5752,-5
5758,-5.1
5763,-5
5767,-5.46
5771,-5.46
5776,-5.43
5780,-5.51
5784,-5.02
5789,-5.43
5793,-4.94
5797,-5.14
5802,-4.9
5806,-4.73
5810,-5
5815,-5.12
5819,-5.25
5823,-5.08
5828,-5.21
5832,-5.46
5836,-5.25
5841,-5.28
5847,-5.25
5853,-5.24
5858,-5.4
5864,-5.33
5870,-5.48
5876,-5.22
5882,-5.28
5888,-5.3
5894,-5.27
5900,-5.38
5906,-5.21
5912,-5.15
5918,-5.31
5924,-5.17
5930,-5.42
5936,-5.14
5942,-5.35
5947,-5.42
5953,-5.37
5957,-5.44
5961,-5.26
5965,-5.27
5969,-5.61
5973,-5.13
5977,-5.41
5981,-5.63
5985,-5.47
5989,-5.56
5993,-5.56
5997,-5.24
6002,-5.47
6006,-5.46
6009,-5.05
6013,-5.24
6017,-5.21
6021,-5.06
6024,-5.53
6028,-5.26
6032,-5.75
6036,-5.55
6040,-5.81
6043,-5.73
6047,-5.71
6051,-5.61
6055,-5.74
6059,-5.36
6062,-5.63
6066,-5.55
6070,-5.93
6074,-5.66
6078,-5.66
6081,-5.51
6085,-5.25
6089,-5.39
6093,-5.26
6097,-5.3
6100,-5.45
6104,-5.53
6108,-5.02
6112,-5.28
6116,-5.41
6119,-5.46
6123,-5.53
6127,-5.59
6131,-5.08
6135,-5.4
6138,-5.36
6142,-5.05
6146,-5.42
6150,-5.37
6154,-5.4
6157,-5.56
6161,-5.5
6165,-5.28
6169,-5.31
6172,-5.49
6176,-5.44
6180,-5.52
6184,-5.69
6188,-5.43
6191,-5.47
6195,-5.4
6199,-5.58
6203,-5.58
6207,-5.34
6210,-5.16
6214,-5.57
6218,-5.68
6222,-5.61
6226,-5.71
6229,-5.55
6233,-5.29
6237,-5.35
6241,-5.25
6245,-5.54
6248,-5.43
6252,-5.25
6256,-5.67
6260,-5.5
6264,-5.49
6267,-5.54
6273,-5.2
6278,-5.55
6284,-5.71
6289,-5.66
6295,-5.63
6300,-5.41
6306,-5.41
6311,-5.78
6317,-5.61
6322,-5.54
6328,-5.64
6333,-5.76
6339,-5.68
6344,-5.47
6350,-5.52
6355,-5.61
6361,-5.66
6366,-5.6
6372,-5.68
6377,-5.61
6383,-5.59
6388,-5.78
6394,-5.61
6399,-5.63
6405,-5.63
6410,-5.57
6416,-5.82
6421,-5.7
6427,-5.82
6432,-5.59
